Num_Acc;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
202400001277;5;6;2024;18:30;1;50;50541;1;1;1;4;6 Les Pas;48,83690600; -1,48530000
202400013083;16;10;2024;10:35;1;91;91174;1;1;1;3;RN 104;48,61045039;2,44425416
202400033795;14;5;2024;21:45;5;75;75120;2;2;2;3;AVENUE GAMBETTA;48,86653000;2,39989300
202400009460;18;3;2024;10:20;1;31;31100;1;1;1;3;D11;43,31716100;1,61979700
202400036206;20;6;2024;06:00;2;33;33483;2;1;1;1;;44,90848200; -0,39028600
202400038747;4;11;2024;06:20;1;974;97411;2;6;1;3;JAURES (BOULEVARD JEAN); -20,90065000;55,48722000
202400006497;9;2;2024;01:40;3;73;73285;1;1;2;6;D902;45,61740341;6,81195305
202400034047;23;7;2024;08:00;1;03;03292;1;1;1;7;chemin départemental 33, carrefour de la route communale de la savrière;46,41875600;3,11116400
202400050806;28;3;2024;18:45;1;92;92007;2;1;1;6;FONTAINE (RUE DE LA);48,78680000;2,30425000
202400036320;19;6;2024;18:40;1;64;64545;1;1;1;3;CORNICHE (ROUTE DE LA);43,39230615; -1,69582396
202400022431;29;7;2024;10:05;1;29;29232;2;1;1;4;Route de Pont l'Abbe;47,97941133; -4,12250636
202400046780;7;1;2024;15:25;1;2B;2B033;2;6;2;6;11 - RT;42,67109000;9,44289000
202400046083;29;10;2024;18:50;3;76;76447;1;1;2;6;Rue Raoul Dufy;49,55594808;0,16705871
202400000854;12;8;2024;17:20;1;13;13214;1;1;1;2;A507 sens Marseille - Aubagne;43,33439187;5,38303265
202400027639;21;1;2024;15:58;1;72;72290;1;1;2;6;lieu dit tete de loup;48,16543662;0,11095047
202400017161;2;7;2024;09:15;1;90;90011;1;1;1;3;A36;47,57929800;6,85764700
202400038450;30;9;2024;11:30;1;75;75117;2;7;1;3;PLACE DU MARECHAL JUIN;48,88534500;2,29709400
202400041375;12;5;2024;17:50;1;67;67063;1;1;1;2;D57;48,38397900;7,27205300
202400003036;6;12;2024;07:30;3;84;84095;1;1;1;2;Jas de Puyvert;43,75022600;5,33262800
202400023181;5;3;2024;17:50;1;60;60057;2;1;3;6;HECTOR BERLIOZ (RUE);49,41664302;2,07714115
202400004213;28;4;2024;21:30;5;94;94043;2;6;1;2;Avenue de Fontainebleau / Rue Edmond Michelet;48,80950000;2,36245000
202400018103;30;1;2024;10:20;1;65;65042;1;1;1;1;30 Rue des Fréres Ferrère;43,04411500;0,16535300
202400045710;21;9;2024;02:22;4;29;29215;2;1;1;6;Chemin de la Corniche;47,97989700; -4,43470000
202400045622;12;2;2024;18:25;3;35;35195;1;1;1;6;Le Stand;48,30451100; -1,68258700
202400042178;16;6;2024;13:30;1;56;56123;1;1;1;1;la ville clero;47,69235300; -2,33261000
202400052761;1;12;2024;12:30;1;75;75115;2;2;1;3;RUE DE LA CONVENTION;48,84383600;2,28195100
202400040010;24;8;2024;11:50;1;39;39501;2;1;1;6;8 Rue de Dole;47,12681900;5,45455600
202400036281;3;10;2024;08:45;1;72;72241;2;1;1;6;72 Grande Rue;48,04879000;0,40965400
202400003800;7;7;2024;09:00;1;75;75120;2;1;1;6;BOULEVARD MORTIER;48,86996000;2,40878000
202400051177;28;3;2024;14:10;1;83;83144;1;1;1;2;A57;43,13398268;5,98674088
202400017285;19;11;2024;10:55;1;84;84007;2;1;1;6;RÉPUBLIQUE (RUE DE LA);43,94557000;4,80545000
202400017349;30;6;2024;09:30;1;92;92024;2;1;1;4;MARTRE (RUE) DE (111 A 119)   (122 A 144;48,90820725;2,30038190
202400049406;9;2;2024;18:10;2;22;22077;1;3;1;3;Le Guihourde;48,55229300; -2,43289200
202400017533;19;11;2024;19:55;5;38;38344;2;1;1;3;Avenue Gabriel Péri;45,36602900;4,80017100
