Num_Acc;id_usager;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp
202400008271;203 969 063;155 767 246;A01;1;1;4;1;2004.0;3;2;6;-1;0;0;-1
202400008271;203 969 064;155 767 247;B01;1;1;1;2;1995.0;9;1;-1;-1;0;0;-1
202400008298;203 968 996;155 767 194;A01;1;1;1;1;2001.0;4;1;0;-1;-1; -1;-1
202400008298;203 968 997;155 767 195;B01;1;1;3;1;1993.0;1;2;0;-1;-1; -1;-1
202400008319;203 968 948;155 767 156;A01;1;1;1;1;2002.0;4;1;0;-1;-1; -1;-1
202400008319;203 968 951;155 767 159;B01;1;1;3;1;2001.0;5;2;6;-1;-1; -1;-1
202400008332;203 968 921;155 767 133;A01;1;1;1;1;1997.0;5;8;-1;-1;0;0;-1
202400008332;203 968 922;155 767 134;B01;1;1;3;2;1994.0;5;8;-1;-1;0;0;-1
202400008344;203 968 893;155 767 111;A01;10;3;4;2;1948.0;5;8;-1;-1;3;3;1
202400008344;203 968 895;155 767 111;A01;1;1;1;1;1975.0;5;1;-1;-1;0;0;-1
202400008358;203 968 867;155 767 088;B01;1;1;4;1;1982.0;1;2;8;-1;-1; -1;-1
202400008358;203 968 870;155 767 091;A01;1;1;1;2;1949.0;5;1;8;-1;-1; -1;-1
202400008369;203 968 841;155 767 067;A01;2;2;3;1;1932.0;9;1;-1;-1;0;0;-1
202400008369;203 968 842;155 767 067;A01;1;1;3;2;1934.0;0;1;-1;-1;0;0;-1
202400008369;203 968 845;155 767 070;B01;1;1;4;2;1987.0;0;1;-1;-1;0;0;-1
202400008373;203 968 834;155 767 061;A01;1;1;4;1;2003.0;0;1;-1;-1;0;0;-1
202400008373;203 968 838;155 767 064;B01;1;1;1;-1;;-1;-1;-1;-1;-1; -1;-1
202400008376;203 968 824;155 767 057;A01;1;1;4;1;1980.0;1;1;-1;-1;-1; -1;-1
202400008384;203 968 800;155 767 040;A01;1;1;4;1;1976.0;4;2;6;-1;-1; -1;-1
202400008384;203 968 803;155 767 041;B01;1;1;4;1;1974.0;4;2;6;-1;-1; -1;-1
202400008394;203 968 775;155 767 021;A01;3;2;4;2;2017.0;0;1;0;-1;-1; -1;-1
202400008394;203 968 776;155 767 021;A01;1;1;4;2;1993.0;5;1;4;-1;-1; -1;-1
202400008394;203 968 778;155 767 023;B01;1;1;1;1;1979.0;4;1;4;-1;-1; -1;-1
202400008395;203 968 773;155 767 019;A01;1;1;1;1;1985.0;1;1;-1;-1;-1; -1;-1
202400008395;203 968 774;155 767 020;B01;1;1;4;1;1973.0;1;2;-1;-1;-1; -1;-1
202400008405;203 968 756;155 767 006;B01;2;2;4;1;2009.0;0;2;0;-1;-1; -1;-1
202400008405;203 968 758;155 767 006;B01;1;1;3;1;2010.0;0;2;0;-1;-1; -1;-1
202400008405;203 968 759;155 767 007;A01;1;1;1;1;1963.0;0;1;0;-1;-1; -1;-1
202400008421;203 968 717;155 766 977;A01;1;1;4;1;1998.0;0;1;-1;-1;-1; -1;-1
202400008427;203 968 703;155 766 966;A01;1;1;1;2;1983.0;5;1;-1;-1;0;0;-1
202400008427;203 968 705;155 766 968;B01;1;1;3;1;1973.0;4;2;-1;-1;0;0;-1
202400008427;203 968 706;155 766 969;C01;1;1;4;1;1998.0;4;2;-1;-1;0;0;-1
202400008429;203 968 700;155 766 963;A01;1;1;3;1;1979.0;9;1;-1;-1;0;0;-1
202400008442;203 968 677;155 766 942;A01;1;1;1;-1;;-1;8;-1;-1;-1; -1;-1
202400008442;203 968 678;155 766 943;B01;1;1;4;2;1976.0;1;1;-1;-1;-1; -1;-1
202400008442;203 968 680;155 766 945;C01;1;1;4;1;1987.0;2;1;-1;-1;-1; -1;-1
202400008442;203 968 682;155 766 947;D01;1;1;1;2;1986.0;0;1;-1;-1;-1; -1;-1
202400008444;203 968 672;155 766 938;A01;1;1;1;1;1992.0;4;1;-1;-1;0;0;-1
202400008444;203 968 673;155 766 939;B01;1;1;3;1;1946.0;5;2;-1;-1;0;0;-1
202400008452;203 968 655;155 766 925;A01;1;1;4;1;1961.0;9;2;0;-1;0;0;-1
202400008452;203 968 656;155 766 926;B01;1;1;1;1;1995.0;1;1;0;-1;0;0;-1
202400008453;203 968 653;155 766 924;A01;10;3;4;1;1962.0;0;0;-1;-1;3;3;1
202400008453;203 968 654;155 766 924;A01;1;1;1;1;1983.0;0;1;0;-1;-1; -1;-1
